titre,prix,stock,image,categorie,url,rating
That Darkness (Gardiner and Renner #1),Â£13.92,In stock (14 available)In stockIn stockIn stockIn stockIn stockIn stock,https://books.toscrape.com/media/cache/23/b8/23b81994234ac127d701db1531a08e48.jpg,Mystery,https://books.toscrape.com/catalogue/that-darkness-gardiner-and-renner-1_743/index.html,One
Tastes Like Fear (DI Marnie Rome #3),Â£10.69,In stock (14 available)In stockIn stockIn stockIn stockIn stockIn stock,https://books.toscrape.com/media/cache/74/9b/749bca168778cf35fdb2441a9d6b403f.jpg,Mystery,https://books.toscrape.com/catalogue/tastes-like-fear-di-marnie-rome-3_742/index.html,One
A Time of Torment (Charlie Parker #14),Â£48.35,In stock (14 available)In stockIn stockIn stockIn stockIn stockIn stock,https://books.toscrape.com/media/cache/f1/37/f137a410ed7d6fcfce17d081caf97915.jpg,Mystery,https://books.toscrape.com/catalogue/a-time-of-torment-charlie-parker-14_657/index.html,Five
A Study in Scarlet (Sherlock Holmes #1),Â£16.73,In stock (14 available)In stockIn stockIn stockIn stockIn stockIn stock,https://books.toscrape.com/media/cache/27/40/274003f2720f82844873945b87af6c19.jpg,Mystery,https://books.toscrape.com/catalogue/a-study-in-scarlet-sherlock-holmes-1_656/index.html,Two
Poisonous (Max Revere Novels #3),Â£26.80,In stock (12 available)In stockIn stockIn stockIn stockIn stockIn stock,https://books.toscrape.com/media/cache/8d/52/8d52227d29e03695ef755620078b7815.jpg,Mystery,https://books.toscrape.com/catalogue/poisonous-max-revere-novels-3_627/index.html,Three
Murder at the 42nd Street Library (Raymond Ambler #1),Â£54.36,In stock (12 available)In stockIn stockIn stockIn stockIn stockIn stock,https://books.toscrape.com/media/cache/19/74/19748437aac103dbdeb1918062728726.jpg,Mystery,https://books.toscrape.com/catalogue/murder-at-the-42nd-street-library-raymond-ambler-1_624/index.html,Four
Most Wanted,Â£35.28,In stock (12 available)In stockIn stockIn stockIn stockIn stockIn stock,https://books.toscrape.com/media/cache/fa/b5/fab5e650b19b76c5f5d1ce3a626376b1.jpg,Mystery,https://books.toscrape.com/catalogue/most-wanted_623/index.html,Three
Hide Away (Eve Duncan #20),Â£11.84,In stock (12 available)In stockIn stockIn stockIn stockIn stockIn stock,https://books.toscrape.com/media/cache/b2/c5/b2c501b848bccd9cc375771f53c0fb6e.jpg,Mystery,https://books.toscrape.com/catalogue/hide-away-eve-duncan-20_620/index.html,One
Boar Island (Anna Pigeon #19),Â£59.48,In stock (12 available)In stockIn stockIn stockIn stockIn stockIn stock,https://books.toscrape.com/media/cache/91/8c/918c2c95ae90495cdb0371a22b726d82.jpg,Mystery,https://books.toscrape.com/catalogue/boar-island-anna-pigeon-19_613/index.html,Three
The Widow,Â£27.26,In stock (11 available)In stockIn stockIn stockIn stockIn stockIn stock,https://books.toscrape.com/media/cache/e4/37/e43737572b04c7ad28b35f3da29eb8dd.jpg,Mystery,https://books.toscrape.com/catalogue/the-widow_609/index.html,Two
Playing with Fire,Â£13.71,In stock (11 available)In stockIn stockIn stockIn stockIn stockIn stock,https://books.toscrape.com/media/cache/09/02/0902666ade8ab8183363e53c108e5069.jpg,Mystery,https://books.toscrape.com/catalogue/playing-with-fire_602/index.html,Three
What Happened on Beale Street (Secrets of the South Mysteries #2),Â£25.37,In stock (7 available)In stockIn stockIn stockIn stockIn stockIn stock,https://books.toscrape.com/media/cache/2c/68/2c6857eb1c10995c8b9e77a1804f68cd.jpg,Mystery,https://books.toscrape.com/catalogue/what-happened-on-beale-street-secrets-of-the-south-mysteries-2_506/index.html,Five
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),Â£52.30,In stock (7 available)In stockIn stockIn stockIn stockIn stockIn stock,https://books.toscrape.com/media/cache/38/a4/38a44ac4f642f4717d865c81ec594529.jpg,Mystery,https://books.toscrape.com/catalogue/the-bachelor-girls-guide-to-murder-herringford-and-watts-mysteries-1_491/index.html,Five
Delivering the Truth (Quaker Midwife Mystery #1),Â£20.89,In stock (7 available)In stockIn stockIn stockIn stockIn stockIn stock,https://books.toscrape.com/media/cache/5c/8a/5c8acde540a88aed464ab5c52bafcd83.jpg,Mystery,https://books.toscrape.com/catalogue/delivering-the-truth-quaker-midwife-mystery-1_464/index.html,Four
The Mysterious Affair at Styles (Hercule Poirot #1),Â£24.80,In stock (6 available)In stockIn stockIn stockIn stockIn stockIn stock,https://books.toscrape.com/media/cache/6b/61/6b61d393f0731f6c52182ba3cf41e245.jpg,Mystery,https://books.toscrape.com/catalogue/the-mysterious-affair-at-styles-hercule-poirot-1_452/index.html,Four
In the Woods (Dublin Murder Squad #1),Â£38.38,In stock (6 available)In stockIn stockIn stockIn stockIn stockIn stock,https://books.toscrape.com/media/cache/13/47/13470484ded8c835ce03b662fc863a1a.jpg,Mystery,https://books.toscrape.com/catalogue/in-the-woods-dublin-murder-squad-1_433/index.html,Two
The Silkworm (Cormoran Strike #2),Â£23.05,In stock (3 available)In stockIn stockIn stockIn stockIn stockIn stock,https://books.toscrape.com/media/cache/fa/d2/fad227281b25d606782218a33323991b.jpg,Mystery,https://books.toscrape.com/catalogue/the-silkworm-cormoran-strike-2_280/index.html,Five
The Exiled,Â£43.45,In stock (3 available)In stockIn stockIn stockIn stockIn stockIn stock,https://books.toscrape.com/media/cache/dd/29/dd29147b962e4480491cac5bce41e4e4.jpg,Mystery,https://books.toscrape.com/catalogue/the-exiled_247/index.html,Three
The Cuckoo's Calling (Cormoran Strike #1),Â£19.21,In stock (3 available)In stockIn stockIn stockIn stockIn stockIn stock,https://books.toscrape.com/media/cache/72/ec/72ec24f082aba608ca37bc3aeaf57317.jpg,Mystery,https://books.toscrape.com/catalogue/the-cuckoos-calling-cormoran-strike-1_239/index.html,One
Extreme Prey (Lucas Davenport #26),Â£25.40,In stock (3 available)In stockIn stockIn stockIn stockIn stockIn stock,https://books.toscrape.com/media/cache/0a/b2/0ab24d35793497f6a72137191b91659e.jpg,Mystery,https://books.toscrape.com/catalogue/extreme-prey-lucas-davenport-26_154/index.html,Three
Career of Evil (Cormoran Strike #3),Â£24.72,In stock (3 available)In stockIn stockIn stockIn stockIn stockIn stock,https://books.toscrape.com/media/cache/40/f8/40f897ffbfda6e88e5763c157cfd0930.jpg,Mystery,https://books.toscrape.com/catalogue/career-of-evil-cormoran-strike-3_137/index.html,Two
The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),Â£57.70,In stock (1 available)In stockIn stockIn stockIn stockIn stockIn stock,https://books.toscrape.com/media/cache/62/8c/628c0151226402726149c98549671250.jpg,Mystery,https://books.toscrape.com/catalogue/the-no-1-ladies-detective-agency-no-1-ladies-detective-agency-1_76/index.html,Four
The Girl You Lost,Â£12.29,In stock (1 available)In stockIn stockIn stockIn stockIn stockIn stock,https://books.toscrape.com/media/cache/28/15/2815974db428ea019fc84e08af23095b.jpg,Mystery,https://books.toscrape.com/catalogue/the-girl-you-lost_66/index.html,Five
The Girl In The Ice (DCI Erika Foster #1),Â£15.85,In stock (1 available)In stockIn stockIn stockIn stockIn stockIn stock,https://books.toscrape.com/media/cache/83/54/835421d17d99c89fd99d07e17806357b.jpg,Mystery,https://books.toscrape.com/catalogue/the-girl-in-the-ice-dci-erika-foster-1_65/index.html,Three
Blood Defense (Samantha Brinkman #1),Â£20.30,In stock (1 available)In stockIn stockIn stockIn stockIn stockIn stock,https://books.toscrape.com/media/cache/ea/12/ea12c82131832c5d772fdbd3cb56ced7.jpg,Mystery,https://books.toscrape.com/catalogue/blood-defense-samantha-brinkman-1_8/index.html,Three
1st to Die (Women's Murder Club #1),Â£53.98,In stock (1 available)In stockIn stockIn stockIn stockIn stockIn stock,https://books.toscrape.com/media/cache/f6/8e/f68e6ae2f9da04fccbde8442b0a1b52a.jpg,Mystery,https://books.toscrape.com/catalogue/1st-to-die-womens-murder-club-1_2/index.html,One
It's Only the Himalayas,Â£45.17,In stock (19 available)In stockIn stockIn stockIn stockIn stockIn stock,https://books.toscrape.com/media/cache/6d/41/6d418a73cc7d4ecfd75ca11d854041db.jpg,Travel,https://books.toscrape.com/catalogue/its-only-the-himalayas_981/index.html,Two
Full Moon over Noahâs Ark: An Odyssey to Mount Ararat and Beyond,Â£49.43,In stock (15 available)In stockIn stockIn stockIn stockIn stockIn stock,https://books.toscrape.com/media/cache/fe/8a/fe8af6ceec7718986380c0fde9b3b34f.jpg,Travel,https://books.toscrape.com/catalogue/full-moon-over-noahs-ark-an-odyssey-to-mount-ararat-and-beyond_811/index.html,Four
See America: A Celebration of Our National Parks & Treasured Sites,Â£48.87,In stock (14 available)In stockIn stockIn stockIn stockIn stockIn stock,https://books.toscrape.com/media/cache/c7/1a/c71a85dbf8c2dbc75cb271026618477c.jpg,Travel,https://books.toscrape.com/catalogue/see-america-a-celebration-of-our-national-parks-treasured-sites_732/index.html,Three
Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,Â£36.94,In stock (8 available)In stockIn stockIn stockIn stockIn stockIn stock,https://books.toscrape.com/media/cache/ca/30/ca30b1afe1e76ce7ba1db8176d398e53.jpg,Travel,https://books.toscrape.com/catalogue/vagabonding-an-uncommon-guide-to-the-art-of-long-term-world-travel_552/index.html,Two
Under the Tuscan Sun,Â£37.33,In stock (7 available)In stockIn stockIn stockIn stockIn stockIn stock,https://books.toscrape.com/media/cache/45/21/4521c581ba727f5c835e34860cbf53e5.jpg,Travel,https://books.toscrape.com/catalogue/under-the-tuscan-sun_504/index.html,Three
A Summer In Europe,Â£44.34,In stock (7 available)In stockIn stockIn stockIn stockIn stockIn stock,https://books.toscrape.com/media/cache/6c/e3/6ce3003931701c7a3fd5354917538ea9.jpg,Travel,https://books.toscrape.com/catalogue/a-summer-in-europe_458/index.html,Two
The Great Railway Bazaar,Â£30.54,In stock (6 available)In stockIn stockIn stockIn stockIn stockIn stock,https://books.toscrape.com/media/cache/d5/82/d582f6b0261c2842330e893962276295.jpg,Travel,https://books.toscrape.com/catalogue/the-great-railway-bazaar_446/index.html,One
A Year in Provence (Provence #1),Â£56.88,In stock (6 available)In stockIn stockIn stockIn stockIn stockIn stock,https://books.toscrape.com/media/cache/8b/81/8b81cd9b2c8f89a12099a80bed1c4911.jpg,Travel,https://books.toscrape.com/catalogue/a-year-in-provence-provence-1_421/index.html,Four
The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),Â£23.21,In stock (3 available)In stockIn stockIn stockIn stockIn stockIn stock,https://books.toscrape.com/media/cache/26/f5/26f5d20239a45046e756c6d09611b3ea.jpg,Travel,https://books.toscrape.com/catalogue/the-road-to-little-dribbling-adventures-of-an-american-in-britain-notes-from-a-small-island-2_277/index.html,One
Neither Here nor There: Travels in Europe,Â£38.95,In stock (3 available)In stockIn stockIn stockIn stockIn stockIn stock,https://books.toscrape.com/media/cache/c9/9a/c99a7a05537cd842eb4db83d537e3a4d.jpg,Travel,https://books.toscrape.com/catalogue/neither-here-nor-there-travels-in-europe_198/index.html,Three
"1,000 Places to See Before You Die",Â£26.08,In stock (1 available)In stockIn stockIn stockIn stockIn stockIn stock,https://books.toscrape.com/media/cache/9e/10/9e106f81f65b293e488718a4f54a6a3f.jpg,Travel,https://books.toscrape.com/catalogue/1000-places-to-see-before-you-die_1/index.html,Five
